kbmira with c=0.01 decay=0.999 no_shuffle=0
Initialising random seed from system clock
.....Initial BLEU = 0.914884
162/500 updates, avg loss = 0.732767, BLEU = 0.908029
108/500 updates, avg loss = 0.493561, BLEU = 0.910535
92/500 updates, avg loss = 0.397059, BLEU = 0.911697
85/500 updates, avg loss = 0.379711, BLEU = 0.911697
77/500 updates, avg loss = 0.342757, BLEU = 0.911697
75/500 updates, avg loss = 0.319773, BLEU = 0.911697
70/500 updates, avg loss = 0.291003, BLEU = 0.911697
70/500 updates, avg loss = 0.299524, BLEU = 0.911697
66/500 updates, avg loss = 0.266553, BLEU = 0.912525
62/500 updates, avg loss = 0.245966, BLEU = 0.912525
64/500 updates, avg loss = 0.252691, BLEU = 0.912525
61/500 updates, avg loss = 0.235406, BLEU = 0.913307
58/500 updates, avg loss = 0.234313, BLEU = 0.913307
57/500 updates, avg loss = 0.232813, BLEU = 0.913307
58/500 updates, avg loss = 0.230802, BLEU = 0.913307
53/500 updates, avg loss = 0.216131, BLEU = 0.913307
59/500 updates, avg loss = 0.227219, BLEU = 0.913324
54/500 updates, avg loss = 0.216718, BLEU = 0.913537
57/500 updates, avg loss = 0.220197, BLEU = 0.913287
57/500 updates, avg loss = 0.20974, BLEU = 0.913287
49/500 updates, avg loss = 0.20172, BLEU = 0.913287
50/500 updates, avg loss = 0.205389, BLEU = 0.914089
53/500 updates, avg loss = 0.208009, BLEU = 0.914089
50/500 updates, avg loss = 0.207321, BLEU = 0.914089
49/500 updates, avg loss = 0.206623, BLEU = 0.914089
50/500 updates, avg loss = 0.207206, BLEU = 0.914838
52/500 updates, avg loss = 0.199242, BLEU = 0.914838
53/500 updates, avg loss = 0.201449, BLEU = 0.914838
50/500 updates, avg loss = 0.20363, BLEU = 0.914838
45/500 updates, avg loss = 0.188719, BLEU = 0.914838
48/500 updates, avg loss = 0.210674, BLEU = 0.914838
42/500 updates, avg loss = 0.171125, BLEU = 0.914838
44/500 updates, avg loss = 0.175232, BLEU = 0.914838
42/500 updates, avg loss = 0.169249, BLEU = 0.914838
43/500 updates, avg loss = 0.174087, BLEU = 0.915512
42/500 updates, avg loss = 0.175949, BLEU = 0.915512
41/500 updates, avg loss = 0.17357, BLEU = 0.915512
41/500 updates, avg loss = 0.160853, BLEU = 0.915512
39/500 updates, avg loss = 0.167011, BLEU = 0.915512
44/500 updates, avg loss = 0.185794, BLEU = 0.915512
41/500 updates, avg loss = 0.179859, BLEU = 0.915512
43/500 updates, avg loss = 0.172667, BLEU = 0.915512
45/500 updates, avg loss = 0.1702, BLEU = 0.915512
42/500 updates, avg loss = 0.164235, BLEU = 0.915512
41/500 updates, avg loss = 0.159857, BLEU = 0.914884
41/500 updates, avg loss = 0.166365, BLEU = 0.914884
42/500 updates, avg loss = 0.162465, BLEU = 0.914884
42/500 updates, avg loss = 0.170839, BLEU = 0.914884
42/500 updates, avg loss = 0.155672, BLEU = 0.914884
40/500 updates, avg loss = 0.170322, BLEU = 0.914884
40/500 updates, avg loss = 0.165613, BLEU = 0.914884
41/500 updates, avg loss = 0.155199, BLEU = 0.914884
39/500 updates, avg loss = 0.159261, BLEU = 0.914884
40/500 updates, avg loss = 0.155931, BLEU = 0.914884
43/500 updates, avg loss = 0.169675, BLEU = 0.914884
42/500 updates, avg loss = 0.158906, BLEU = 0.914884
40/500 updates, avg loss = 0.158415, BLEU = 0.91589
36/500 updates, avg loss = 0.14808, BLEU = 0.91589
37/500 updates, avg loss = 0.150883, BLEU = 0.91589
38/500 updates, avg loss = 0.151522, BLEU = 0.91589
Best BLEU = 0.91589
